# 访谈记录翻译版

## 访谈基本信息
- **原始语言**：法语
【主持人】：[05:39:29] 我理解，Augustin。您说这对理解和阅读很有效。当您说"但要熟练掌握新词汇，非常有效"时，您能详细说说您对新词汇效果的感受吗？

【受访者】：[05:56:05] 就是说在课堂上看到的新词汇，无论是在阅读中，还是被老师提到的，听到后再说出来并不容易。

【主持人】：[06:18:99] 我很理解，Augustin。您在课堂上听到或读到的词汇，之后在口语中重新使用并不总是容易的。您是否已经准备过或参加过英语考试，Augustin？我想到的是TOEIC、TOEFL、IELTS这类考试...您之前提到了为交换准备TOEFL和之前的IELTS。您能告诉我您具体针对TOEFL的哪个考试，希望获得什么分数，以及为什么选择这个考试吗？

【受访者】：[06:46:86] 首先，我考过了Cambridge B1、B2、IELTS，现在我正在准备TOEFL，希望获得接近100分的成绩。

【主持人】：[07:01:09] 很好，Augustin。很清楚。您考过了Cambridge B1、B2、IELTS，现在正在准备TOEFL，目标是接近100分。您能解释一下为什么选择TOEFL进行这次准备，以及为什么目标是100分左右吗？

【受访者】：[07:19:46] 我决定选择TOEFL是因为这是交换学校要求的。除了TOEFL之外没有其他要求的考试，目标100分左右的原因是所有学校要求的分数都不同，但有了接近100分的成绩，大部分学校都会接受我。

【主持人】：[07:50:74] 很好，我理解，Augustin。TOEFL是交换学校要求的，接近100分的成绩会为您打开大部分学校的大门。谢谢您提供的所有信息，Augustin。现在我对您的情况有了很好的了解。现在我想和您一起深入探讨您对英语词汇学习的感受。可以吗？

【受访者】：[08:10:69] 我在听。

【主持人】：[08:18:10] 很好，我们开始吧！当我们谈到学习英语词汇时，您最先想到什么，Augustin？

【受访者】：[08:25:90] 我最先想到的是学习词汇表，包含一些不常用或很少使用的单词，这些单词能让我们有更好的口语表达。

【主持人】：[08:44:70] 我完全理解。所以，学习单词列表的想法，特别是那些不常用的单词，这是您想到的。当您说这些是不常用或很少使用的单词时，这在您的学习中是否给您造成问题或让您感到沮丧，Augustin？如果是的话，这具体是如何表现的？

【受访者】：[09:04:90] 我想说，不说英语的人，非英语母语者，经常使用相同的单词，所以词汇表通常是非英语母语者很少听到的单词，但这些单词能提高非英语母语者的对话水平，这些不常听到的单词对我来说不是问题。恰恰相反，这些是重要的学习单词。为了有更高水平的对话，能够与更多的人交流。

【主持人】：[09:45:97] 好的，我很理解这种感受，Augustin。您认为这些不太常见的单词对提高对话水平很重要。对您来说，词汇在掌握英语中占据什么地位？是什么让您这样认为的？

【受访者】：[10:02:42] 我看到我班上的人，比如那些英语水平是双语的人，有更多词汇，因此在表达和交流他们的情感或想法时更加自如。我认为词汇在掌握英语和与他人对话中占据重要地位。

【主持人】：[10:32:34] 这是一个非常正确的观点，Augustin。您观察到词汇越多，表达和交流想法就越自如，这很好地强调了词汇的重要性。现在，我想谈谈困难。在您学习单词的过程中，什么最让您感到困难或最让您沮丧，Augustin？

【受访者】：[10:52:80] 我想说学习单词首先要有学习的意愿，要开始行动，制作列表，重复它们，然后知道何时使用它们，在什么语境下，在什么类型的句子中使用。

【主持人】：[11:11:84] 确实很难准确知道如何以及何时使用一个新单词。当您说很难知道"何时使用它们，在什么语境下，在什么类型的句子中"时，您能给我一个具体例子，说明您何时感受到这种困难吗，Augustin？

【受访者】：[11:29:20] 那些非常具体的单词，更正式、更精确的，在某个领域或某个行业中，要重新使用它们，需要知道在什么语境下可以重新使用，在什么领域中。

【主持人】：[11:46:82] 啊，好的，我明白。您说的是某个领域或行业的非常具体的单词，困难在于知道在哪里以及如何正确重新使用它们。这很清楚。现在，我想谈一个稍微不同的点。在您学习英语词汇的过程中，您是否遇到过看起来像法语但意思完全不同的英语单词，Augustin？

【受访者】：[12:09:72] 是的，完全是这样。没有立即想到的单词，但确实有一些单词，我们可以说是"假朋友"，意思不同，但说法相同。

【主持人】：[12:28:02] 啊是的，我现在明白了。您说的是"假朋友"。您能给我一两个具体例子，说明您遇到过的这些让您误解的单词吗，Augustin？

【受访者】：[12:40:95] 我在思考。

【受访者】：[12:58:08] 现在没有想到的单词。

【主持人】：[13:02:02] 没关系，这很正常。一个很常见的例子是英语中的"library"，看起来像法语的"librairie"，但意思是"bibliothèque"（图书馆）。还有"actually"，看起来像"actuellement"，但意思是"en fait"（实际上）。这些例子是否让您想起您可能经历过的类似情况，Augustin，即使您现在想不起具体的单词？

【受访者】：[13:23:44] 完全是这样，这正是我可能想到的那种单词，它们在英语和法语中有不同的含义，但可能让人认为有相似的含义。

【主持人】：[13:44:82] 啊是的，我完全理解您的意思，Augustin。确实很讨厌遇到这些让我们误解的单词。现在，为了有更精确的了解，在1到10的评分中，您会给记忆词汇的难度打几分，Augustin？（其中1是非常容易，10是极其困难）您每天大约花多少时间在这上面？

【受访者】：[14:09:40] 嗯，这取决于语言，但我想说在英语方面，学习词汇并不是极其复杂的，它与法语还是很接近的，所以我会打3分，有了意愿，只需要花时间去做。

【主持人】：[14:31:92] 好的，Augustin，难度3分（满分10分），认为它与法语很接近，主要需要意愿。这很有趣。那么，您每天大约花多少时间记忆词汇，Augustin？

【受访者】：[14:49:27] 我没有制作具体的词汇表，但我想说在课堂上，比如，逐渐地，听到越来越多的单词，我会吸收新词汇，但我没有制作具体的列表。在时间方面，如果我必须每天学5个单词，不会超过10分钟。

【主持人】：[15:16:66] 好的，我记下了。您估计难度是3分（满分10分），主要因为英语与法语接近，主要需要意愿。您能更详细地解释为什么是3分吗，Augustin？为什么不是1分（非常容易）或5分（表示中等难度）？

【受访者】：[15:39:02] 嗯，我认为不是1分，因为这需要时间。就像我说的需要意愿，必须愿意花时间。然后，为什么不是5分？因为这不是一种非常复杂的语言。此外，取决于我们每天想学的单词数量，难度可能会增加，领域也是如此。但我认为每天5到10个单词的短词汇表，仍然是3分，然后如果我们想学更多单词，10、15、20或30个单词每天，显然难度会增加，因为必须全部记住。

【主持人】：[16:23:27] 好的，很清楚，Augustin。您打3分是因为这需要时间和意愿，但这不是一种本质上很复杂的记忆语言，特别是如果我们限制在每天少量单词。如果我们目标是更多单词或特定领域，难度会增加。您提到您没有具体的词汇表，而是在课堂上吸收单词，每天5个单词不会超过10分钟。这是您有意识选择的方法吗，Augustin，您是否想提高这种"吸收"或词汇记忆的效率？

【受访者】：[16:59:38] 是的，我想说目前，不幸的是，我没有寻求学习更多词汇，尽管我应该这样做，因为正如我所说，我的表达水平不如我的听力水平或阅读水平好。所以，应该学习更多单词，这样我就能表达自己，与英语母语者进行有趣的对话。

【主持人】：[17:29:54] 我很理解，Augustin。很清楚您希望发展词汇以提高口语表达，进行更丰富的对话。我很理解您对词汇学习的感受和困难。现在我想了解您对现有工具的经验。我们可以一起谈论这个吗？

【受访者】：[17:48:08] 是的，当然可以。

【主持人】：[18:06:45] 太好了，我们开始！那么首先，您具体使用过哪些英语学习应用程序或软件，Augustin？您能告诉我名字吗？

【受访者】：[18:16:94] 嗯，在英语方面，我没有通过应用程序或软件学习，我主要在学校或通过私人课程学习。现在，如果我必须说一个应用程序的名字，我会说Duolingo。

【主持人】：[18:36:32] 好的，我明白。您主要在学校和通过私人课程学习，您提到了Duolingo。对于Duolingo，Augustin，您使用了多长时间，主要用于什么？

【受访者】：[18:49:48] 我使用Duolingo学英语很短时间，我想说不到一个月。然后，课程比Duolingo更有教育意义。英语课程。但比如，我使用Duolingo学习西班牙语，我使用了四五个月。

【主持人】：[19:19:86] 好的，我理解。您使用Duolingo学英语不到一个月，然后课程接替了。对于英语，Augustin，在这短时间内您主要用Duolingo做什么？

【受访者】：[19:32:07] 我在进入现在这所学校之前使用Duolingo，为了有更多词汇和表达能力，在进入所有课程都是英语授课的学校之前。

【主持人】：[19:52:65] 我明白，Augustin。您使用Duolingo是为了在进入现在的学校之前获得词汇和表达能力。现在，在您为英语提到的应用程序或软件中（即使您的使用有限），是什么让您最初选择Duolingo的？

【受访者】：[20:09:49] 我认为Duolingo是学习语言最知名的应用程序，至少在法国和目前的欧洲是这样。然后，它的大部分培训是免费的，也就是说可以免费使用，但有付费选项，但完全可以每天免费使用，简单且无需付费。

【主持人】：[20:22:08] 好的，Augustin。很清楚Duolingo非常知名，免费方面是一个主要优势。那么，在您用于英语的工具中，您目前最经常使用哪个，即使它不是应用程序？是什么让您选择它，或继续使用它？

【受访者】：[20:41:87] 嗯，对于词汇，主要是课程，现在我准备TOEFL，我买了TOEFL官方书籍来为考试做准备。

【主持人】：[20:58:73] 我理解，Augustin。所以，对于词汇，主要是课程，对于TOEFL，您使用官方书籍。是什么让您最初选择这本TOEFL官方书籍，是什么让您继续使用它，Augustin？

【受访者】：[21:15:72] 嗯，为了准备TOEFL，我更喜欢使用书籍而不是网站或软件。我在书上感到更舒适，可以容易地重读，可以随处携带。可以比如高亮我感兴趣的句子。这就是我选择书籍而不是软件的原因，我仍在使用它因为我还没有完全完成。我快完成了。

【主持人】：[22:08:17] 这是合理的选择，Augustin。您更喜欢书籍因为它便于携带、可以高亮和重读。您继续使用它因为还没有完成。如果您必须给这本TOEFL官方书籍打分，从1到10分，您会打几分，Augustin？（其中1是非常差，10是优秀）什么证明了这个分数？

【受访者】：[22:30:95] 关于TOEFL官方书籍，我会打5分或6分，因为这本书相当复杂，不太直观，与我买的第二本非官方书籍相比，它描述和解释TOEFL是如何进行的，两本书大小差不多，但第二本非官方书籍更直观，更接近培训，我想说就像网上的那样。

【主持人】：[23:10:47] 好的，Augustin，我记下您对官方书籍的评价是5分或6分，因为它相当复杂且不太直观。那么，是什么让您给它5分或6分？根据您的看法，这本书的哪些具体方面加分了？

【受访者】：[23:27:09] 嗯，因为这是官方书籍，这立即增加了价值，因为是开发考试的人编写了这本书。所以这是积极的方面。另一方面，消极的方面是缺乏距离感，因为不是外部机构制作的，像非官方书籍那样，对于想向我们展示什么和不想向我们展示什么，缺乏距离感。

【主持人】：[23:57:55] 我很理解，Augustin。"官方"方面给书籍增加了价值，因为它直接来自考试创建者，这是真正的优势。另一方面，缺乏距离感或外部视角是一个弱点。那么，如果我们专注于这本官方书籍，您最喜欢其中什么，Augustin？您认为哪些功能特别有用？

【受访者】：[24:18:84] 描述和考试结构做得很好。但是，我想说这本书看起来不太现代，不太新，在颜色方面，这不是，这不太让人想学习，看起来很黑白，没有真正的图像或颜色。

【主持人】：[24:53:62] 很好，我明白。描述和考试结构做得很好，这是您最喜欢的。您能解释为什么这些描述和结构对您特别有用吗，Augustin？它们帮您解决了TOEFL准备中的什么问题？

【受访者】：[25:09:37] 嗯，TOEFL是一个由几个部分组成的考试，在这些部分中，比如问题，有非常不同的典型问题。可能问文本中有的内容或没有的内容，以及许多其他提问方式。这些都在TOEFL书中提到了。

【主持人】：[25:37:33] 好的，我理解，Augustin。很好地理解TOEFL的结构和不同类型问题对良好准备非常重要，这本书在这方面帮助了您。相反，Augustin，这本官方书籍中什么不让您满意？您希望它改进什么？

【受访者】：[25:55:80] 我希望有更外部的视角，也许更多技巧，更多技巧。非官方书籍是我买的第二本书，其中有更多技巧，专家如何成功通过某个部分的技巧。

【主持人】：[26:23:79] 好的，我理解您的关注。您希望有更外部的视角，特别是更多技巧，就像非官方书籍中那样。当您谈到专家技巧时，它们应该如何具体运作？您在TOEFL准备中寻找什么样的具体技巧来帮助您，Augustin？

【受访者】：[26:42:43] 我寻找针对问题的技巧，比如非官方书籍，他们清楚地解释像always、never这样的词，所有被推到极端的内容，通常是错误答案，因为它们相对于描述性文本被推到了极端。

【主持人】：[27:10:99] 啊，好的，我很理解，Augustin。您寻找非常精确的技巧，与问题类型相关，比如关于极端词汇的技巧，这些词汇通常表示错误答案。这是一个非常具体和有用的例子。非常感谢您的所有这些详细信息。现在，我想让我们稍微展望一下。如果您能设计一个专门为英语考试准备（如TOEIC或TOEFL）而设计的理想应用程序——真正专注于为通过这些考试而学习词汇——您希望它绝对具有什么功能？您能说出3个对考试成功最关键的功能吗？

【受访者】：[27:44:53] 嗯，我想说第一个功能是能够与应用程序对话并能够听到。第二个功能，我想说是将应用程序视为游戏，像Duolingo那样，有积分或经验系统，能够与朋友连接，比较分数。最后一个，我想说是有一个设计，不太像考试，而是更像游戏中的那样，有吸引人的颜色，一个让我们想回去继续学习词汇的应用程序。最后，我还想说，有提醒，每天的通知，让我们回到应用程序进行训练。

【主持人】：[28:53:97] 这是一个很棒的列表，Augustin！所以，如果我总结，您谈到能够与应用程序对话和听到，将其视为有积分和朋友连接的游戏，有吸引人设计的应用程序，不太严肃像考试，还有每日提醒。对于第一个功能，"能够与应用程序对话和听到"，为什么这对考试准备很重要，这为您解决了什么复习问题，Augustin？

【受访者】：[29:21:38] 嗯，能够与应用程序对话，应用程序可以评分，如果应用程序能理解用户说的话，能够听到，这也是为了能够吸收单词的发音，以便在考试中听力时能够识别它们。

【主持人】：[29:47:38] 非常清楚，Augustin。与应用程序对话能帮助您提高发音和听力以应对考试。这是一个非常有趣的点。现在，您提到理想的应用程序应该像游戏，有点像Duolingo，有积分系统、经验值，以及与朋友连接比较分数的可能性。为什么这种游戏化方面对考试成功至关重要，根据您的看法，Augustin，这会解决什么复习问题？

【受访者】：[30:16:58] 我想说游戏化方面允许摆脱我们在学校会有的基础学习。复习问题是与多人一起复习，所以与朋友一起，因为我们可以比如计划与朋友一起做TOEFL，能够一起训练，比较我们的分数，我们的优势和弱点也可以让我们在学习中更加投入。

【主持人】：[30:47:64] 这非常相关，Augustin。游戏化方面能让学习不那么严肃，与朋友一起训练的事实会通过比较优势和弱点创造额外的动机。最后，您谈到了一个吸引人的设计，有颜色，不太"考试化"，以及每日提醒。为什么这些元素对您如此重要，这如何能具体改善您的考试表现？

【受访者】：[31:14:11] 嗯，颜色，我想说颜色能激励，吸引用户使用应用程序，然后不太考试化的颜色，不是白色背景只有黑色文字的应用程序，而是更多颜色来吸引眼球，然后为什么这些元素对您重要以及如何...这些元素很重要，每日提醒也是，因为比如Duolingo提供每日提醒，有时当我们忘记时，这让我们意识到我们忘记了，因此能够进行更多训练。

【主持人】：[32:25:51] 很好，Augustin。我理解。吸引人和彩色的设计有助于动机，每日提醒是维持学习规律性的关键。除了我们刚才讨论的功能，什么能真正在这个考试准备应用程序中产生差异，帮助您优化复习时间并最大化成功机会？

【受访者】：[32:33:75] 为了在这个准备应用程序中产生差异，优化复习时间，应用程序还必须能在公共交通中使用，也就是说不一定在不能听或说的时候。这能优化时间，优化时间以便比如在火车或公交车或街上使用应用程序。在内容方面能产生差异的是，有在TOEFL或其他考试中经常出现的词汇。因此有这些考试专家的人，他们确切知道或至少知道哪些领域、哪些行业会出现或可能经常在这些考试中出现。

【主持人】：[33:31:35] 这非常有趣，Augustin。能够在公共交通中使用应用程序，即使没有声音，以及有考试特定词汇，由专家选择，这确实是优化复习时间的关键点。感谢您对现有工具的所有详细反馈。现在我想了解您对一些新功能概念的反应，这将帮助我们更好地了解用户需求。可以吗？

【受访者】：[33:37:45] 完美。我在听。

【主持人】：[34:02:70] 完美，Augustin，我们开始！我们要谈论一些创新想法。如果一个应用程序能记住您对每个单词的掌握程度，并根据您的优势和弱点自动组织您的复习，您对这个功能有什么看法？这个想法真的很创新。

【受访者】：[34:21:80] 是的，我认为这是一个很好的想法，比如第一天有几个单词的列表，我们没能记住的单词，在这几个单词中，在10个单词中比如，如果有4个我们没能记住，它们会在第二天或后天，下次我们使用应用程序时频繁出现，以便能够理解和正确学习它们。这是一个很好的想法，用算法来做这件事。

【主持人】：[34:53:42] 这很有趣，Augustin。您认为这是专注于我们难以记住的单词的好想法。那么，您对应用程序的这些智能推荐有多信任，您对这种自动化方法有什么担忧吗？

【受访者】：[35:09:61] 不，以今天的技术，人工智能和算法，我认为选择的单词会是我们难以记住的单词。所以我会信任这个工具。

【主持人】：[35:27:59] 我明白，Augustin。很清楚。考虑到技术和AI的进步，您会完全信任这个工具。现在，一个小问题：即使应用程序提供智能推荐，您是否希望对这些复习保持一定的手动控制？

【受访者】：[35:43:24] 是的，我认为总是能够自己选择想要复习的内容是好的。也许这可以是一个可以激活或停用的选项。根据我们的选择。

【主持人】：[36:17:50] 是的，我很理解这一点，Augustin。确实总是能够掌控并选择想要复习的内容很实用，也许以可激活或停用的选项形式。很好。现在，我们要谈论游戏化元素。您对学习应用程序中的游戏化元素有什么看法？比如，连续学习天数的跟踪，完成任务获得奖励？

【受访者】：[36:40:59] 我认为这正是区分好应用程序和坏应用程序的地方。游戏化元素会是动机的源泉，会显示比没有这些游戏化元素更深入的参与。

【主持人】：[37:22:34] 很清楚，Augustin。对您来说，这些游戏化元素真的是区分好应用程序的关键，能更好地激励。那么，您特别喜欢哪些具体的游戏化元素，为什么，Augustin？

【受访者】：[37:36:01] 能够与朋友分享分数，还有使用应用程序天数的跟踪。有一个排行榜，也许与同时复习的人一起，这些都能让应用程序变得有趣。

【主持人】：[38:01:83] 很好，我明白。与朋友分享分数，连续使用天数的跟踪和排行榜，这些是让应用程序真正有趣的元素。现在，我们要谈论考试专业化。如果一个应用程序专门为TOEIC或TOEFL等考试设计，有专门的词汇内容，与通用英语学习应用程序相比，您看到什么优势和劣势？这个区别真的很重要。

【受访者】：[38:29:69] 嗯，优势是这些应用程序会被下载来准备这些考试，但这也意味着使用时间很短的应用程序，期间会很短，因为这些考试只需要提前两三个月准备。也就是说应用程序只会被用户使用两三个月，之后对用户就没用了。而通用应用程序可以使用500天甚至几年，用户参与度更长期。

【主持人】：[38:56:65] 我很理解您的分析，Augustin。专业应用程序的优势是会被专门下载用于准备，但劣势是对用户的生命周期有限，与通用应用程序相比。那么，您愿意为这种专业化投资多少，无论是时间还是金钱，Augustin？

【受访者】：[39:18:41] 使用专业应用程序，如果它只是为了词汇，价格会在5欧元以下，但如果它更全面，还能回答问题，比只是TOEFL词汇更通用，我说的是TOEFL的额外问题，还能与应用程序对话来为各部分训练。那可能超过10欧元。

【主持人】：[39:39:57] 好的，我明白。如果只是词汇就少于5欧元，但如果应用程序更完整，有TOEFL特定问题和与应用程序对话的可能性，就超过10欧元。现在，您提到通用应用程序可以长期使用。那么，除了考试特定准备之外，您对通用英语学习有多大需求，Augustin？

【受访者】：[40:23:66] 通用英语学习，因为我在学校的课程是英语授课，我不需要训练。我想说对于想学英语的人，比如一个12岁想在课程之外学英语的年轻人，可以使用应用程序几年。

【主持人】：[40:45:94] 很好，我理解，Augustin。对您来说，通用学习目前不是优先考虑，因为您所有课程都是英语授课，但您看到它对其他学习者类型的用处。现在，我们要谈论一个相当具体的功能。如果一个应用程序能专门标出容易与法语混淆的英语单词并提供比较练习，您认为这对您有用吗？这确实是法语学习者的特殊需求。

【受访者】：[41:33:06] 我们这里说的是假朋友，对吗？

【主持人】：[41:38:73] 是的，完全正确，Augustin。我们说的正是"假朋友"和所有这些可能在法语和英语之间误导我们的单词。那么，您认为如果一个应用程序能专门标出它们并提供相关练习会对您有用吗？

【受访者】：[41:52:33] 是的，我确信这会有用，因为这类单词可能在考试中出现并可能让参加考试的人感到困惑。所以这可能是有用的，一个额外的功能。

【主持人】：[42:09:34] 很好，Augustin。您确信这会有用，因为假朋友可能在考试中造成困惑。在1到5的评分中，其中1是完全不重要，5是极其重要，您会给这个法英比较功能配特定练习多少重要性？

【受访者】：[42:29:48] 我想说在2和3之间，因为好吧，这是有用的东西。与法语比较。这也不是必需的，不会让我们考试失败的东西。

【主持人】：[42:57:76] 好的，Augustin。2到3分之间，因为这对与法语比较有用，但也不是必需的，不至于让考试失败。那么，如果这个功能存在，您认为它应该如何具体运作？什么类型的练习对您来说最相关来练习这些"假朋友"？

【受访者】：[43:18:13] 这可能是多选题的形式，有英语单词和它的法语含义。也可能是文本形式，或一个句子，我们被问单词在句子中的含义。

【主持人】：[43:21:89] 很好，Augustin。多选题配法语含义或需要理解单词在句子中含义的练习，这作为练习类型很清楚。我们快到这部分的结尾了。如果我刚才向您展示的所有功能都集中在一个应用程序中，从1到10，您会给它打几分？什么驱动了这个评价？您的评价真的很宝贵。

【受访者】：[44:26:69] 我想说如果所有功能都集中在一个应用程序中，这显然取决于价格。但这是一个我会评价在6到8分之间的应用程序，取决于应用程序的范围，这可能比比如官方书籍单独使用有附加值。

【主持人】：[44:45:56] 好的，Augustin。6到8分，取决于价格和功能范围，您看到它比官方书籍有附加值。在我们讨论的功能中，哪些对您最有吸引力，为什么？

【受访者】：[45:02:68] 在我们讨论的功能中，最有吸引力的是有专家内容，还有应用程序的游戏化。

【主持人】：[45:22:39] 很好，Augustin。专家内容和游戏化是您最有吸引力的功能。您能更详细地解释为什么这两个方面对您特别有吸引力吗？

【受访者】：[45:34:29] 根据我的看法，专家内容，这会显示并对使用应用程序的人产生影响，肯定会提高他们的IELTS分数，然后游戏化允许吸引更多用户，有一个比简单在书上学习更有趣的补充。

【主持人】：[46:06:67] 很好，Augustin。我完全理解。专家内容确保更好的准备，因此考试成绩更好，游戏化使学习比书本更有吸引力和有趣。现在，相反，在这样的应用程序中，什么方面需要改进或什么点会让您担忧，Augustin？

【受访者】：[46:27:41] 我认为需要改进的方面，就是需要很多内容，不要总是遇到相同的问题。很多内容，相关的内容，真正有助于通过考试的内容。真正能给我们加分的。让我担忧的，可能担忧的是，如果价格相对于应用程序最终给用户带来的价值来说非常昂贵。

【主持人】：[47:00:06] 很清楚，Augustin。丰富多样的内容，不要总是相同的问题，特别是相关的内容，为考试加分，这是必要的。价格，必须根据带来的价值来证明，也是一个关注点。您对这些功能的反馈真的很有启发性。最后，我想了解您对使用和投资实际方面的思考，这对我们很重要。我们继续吗？

【受访者】：[47:24:62] 我在听。

【主持人】：[47:32:76] 完美，Augustin。我们进入最后一部分，这将帮助我们理解您对财务问题和教育投资的看法。这是一个我们非常谨慎对待的话题，我理解教育投资的重要性。您是否已经在英语学习或其他教育工具上进行过财务投资？大概什么类型的解决方案？

【受访者】：[47:54:20] 是的，当然。我已经投资了私人课程，当我更年轻的时候。最近投资了两本书，TOEFL官方考试书和另一本非官方的。

【主持人】：[48:10:09] 好的，Augustin，我明白。您在更年轻时投资了私人课程，最近为TOEFL投资了两本书。您能告诉我是什么驱使您为这些解决方案付费的吗，Augustin？您对这些投资的总体满意度如何？

【受访者】：[48:26:15] 私人课程让我满意。让我在英语方面获得了自如感，然后TOEFL书籍对我来说，甚至不是买不买的问题，我绝对必须理解如何为考试做准备，因为这是一个相当昂贵的考试。

【主持人】：[48:48:22] 我理解，Augustin。私人课程给您带来了自如感，这是很好的满意度。对于书籍，考虑到TOEFL的成本，这是绝对必要的来理解考试。现在，我想知道：在什么情况下您愿意投资英语学习应用程序，Augustin？需要满足什么条件？

【受访者】：[49:09:96] 投资英语学习应用程序，像TOEFL、TOEIC、IELTS这样的考试，这些都是昂贵的考试。所以花十几欧元，能够是十几或二十几，取决于应用程序软件，是一个加分，因为考试价格非常昂贵，所以我们，最好多花20或30欧元来好好准备，而不是必须参加两次考试。

【主持人】：[50:01:53] 这非常清楚，Augustin。如果应用程序能帮助您避免重考昂贵考试，您愿意投资十几或二十几欧元。这是很好的逻辑。那么，对于您决定在应用程序上进行财务投资，应用程序应该满足的最重要条件是什么，Augustin？

【受访者】：[50:20:62] 应用程序必须由了解考试的人开发。用户评价也必须好，必须能向用户展示使用这个应用程序的人在考试中获得了更多分数。

【主持人】：[50:45:83] 我明白，Augustin。所以，对您来说，决定投资应用程序的关键因素是它由考试专家开发，有好的用户评价，特别是有具体证据表明应用程序有助于提高考试分数。这很清楚。那么，在承诺为这样的应用程序付费之前，您对试用期或免费功能有特殊期望吗？

【受访者】：[51:11:88] 我认为免费功能比试用期更有趣，因为通常试用期需要输入银行卡，或者需要预付费，只有超过试用期才扣费，而免费功能允许注册应用程序并直接开始，到某个点。

【主持人】：[51:26:50] 很好，Augustin。我完全理解您对免费功能而不是试用期的偏好，特别是为了避免与银行卡相关的限制。现在，如果我们想象一个真正有效的英语词汇学习应用程序，考虑到您说的关于考试成本和不重考的重要性，您愿意每月投资多少欧元，Augustin？什么价格范围对您来说合理？

【受访者】：[52:12:81] 我认为月订阅不应该超过，更好的是，我想说对用户来说，应该在10欧元以下，9欧元，因为一旦月订阅有两位数，对用户来说显得更贵。

